Time	eastMoving_arrvCarCount_noise	westMoving_arrvCarCount_noise	eastMoving_dptCarCount_noise	westMoving_dptCarCount_noise	westSideQueue	eastSideQueue	TrafficLight	phaseSigma	elapseTimeInGreen	carPassingTime_mean	eastMoving_arrvCarCount	westMoving_arrvCarCount	eastMoving_dptCarCount	westMoving_dptCarCount
2400.0	3	3	3	4	2	1	20	0.16284639644828625	15.398560874704232	4.0	3	3	3	4
2430.0	5	2	7	1	1	1	0	3.657204403199926	4.730840023240818	4.0	5	2	7	1
2460.0	5	6	0	9	5	1	20	3.0976537220557194	0.62004509151393	4.0	5	7	0	8
2490.0	4	2	6	0	2	3	20	0.6570292820463894	30.62004509151384	4.0	4	2	7	0
2520.0	4	4	3	4	4	2	0	0.17962852505553073	20.872485766722754	4.0	4	4	3	4
2550.0	3	2	4	5	2	1	20	0.6796615378494564	17.417208486161492	4.0	3	2	4	4
2580.0	4	2	4	3	0	0	20	1.9270921928967226	2.1679462461970616	4.0	3	2	5	3
2610.0	4	6	4	4	0	2	20	2.859904968952997	11.67458380341871	4.0	4	6	4	4
2640.0	4	1	6	2	0	0	0	2.7962842895569526	1.226260825224017	4.0	4	1	5	2
2670.0	3	3	3	5	0	0	20	Infinity	6.648026957578905	4.0	3	3	3	4
2700.0	4	4	2	3	2	1	0	1.7948897300875126	6.631274285961359	4.0	4	5	2	3
2730.0	1	1	3	3	0	0	20	2.6105493869255505	20.121152605628534	4.0	2	1	3	3
2760.0	4	2	5	2	0	0	0	Infinity	6.815134402245441	4.0	4	2	5	2
2790.0	1	5	1	6	0	0	20	Infinity	6.031611896869264	4.0	1	5	1	5
2820.0	5	6	0	7	3	1	20	1.5589027862624896	2.7556025976919045	4.0	4	7	0	6
2850.0	8	4	7	0	2	5	20	3.133109442666197	32.755602597691855	4.0	7	4	8	0
2880.0	8	8	7	0	3	13	20	2.1630326591735214	62.755602597691194	4.0	8	8	7	0
2910.0	6	3	7	2	4	13	0	3.1673581976472613	8.529924799746519	4.0	6	3	6	2
2940.0	7	2	0	7	10	9	0	2.5673542204203956	38.5299247997465	4.0	6	3	0	7
2970.0	3	2	0	6	13	4	0	3.149883617427848	68.52992479974685	4.0	3	2	0	7
3000.0	4	1	1	6	15	0	20	1.5532881189514862	5.538587744955079	4.0	4	1	1	6
3030.0	5	1	8	0	12	1	20	2.4780068266976127	35.53858774495514	4.0	5	1	8	0
3060.0	3	3	7	0	6	4	20	3.015933604940608	65.5385877449555	4.0	2	3	8	0
3090.0	2	3	7	0	1	8	20	2.115638928668204	95.5385877449554	4.0	2	4	7	0
3120.0	10	4	8	1	4	10	0	2.635685376695342	4.939342132028147	4.0	9	4	7	1
3150.0	2	2	0	7	6	5	0	3.0972854262115286	34.93934213202819	4.0	2	2	0	7
3180.0	6	4	0	8	11	1	0	2.9297368228860865	64.93934213202807	4.0	5	4	0	8
3210.0	3	2	4	3	8	2	20	3.595773930063684	19.600541958410975	4.0	3	3	5	3
3240.0	7	1	8	0	8	3	20	2.91956117503379	49.60054195841054	4.0	7	1	7	0
3270.0	10	3	8	0	10	6	20	1.042306551399812	79.60054195840988	4.0	9	3	7	0
3300.0	8	6	8	0	10	12	20	2.968232178649962	109.6005419584098	4.0	8	6	8	0
3330.0	4	1	3	3	12	8	0	1.3132274273503421	19.06597433469845	4.0	4	1	3	4
3360.0	1	5	0	8	13	5	0	2.7271908301299197	49.06597433469896	4.0	1	5	0	8
3390.0	4	7	0	9	19	3	0	3.5240865142540327	79.06597433469872	4.0	6	6	0	8
3420.0	3	1	2	4	19	0	20	1.8881543357453658	11.285740258437578	4.0	3	1	2	5
3450.0	5	3	7	0	17	3	20	1.8062109190690414	41.28574025843767	4.0	5	3	7	0
3480.0	7	2	8	0	15	5	20	2.844916860729908	71.28574025843746	4.0	6	2	8	0
3510.0	3	2	8	0	10	7	20	3.975793154740064	101.28574025843793	4.0	3	2	8	0
3540.0	7	1	5	2	13	5	0	0.23969261581311452	10.821389796523853	4.0	7	1	5	2
3570.0	7	5	0	8	21	2	0	1.1236167864854822	40.82138979652459	4.0	8	5	0	8
3600.0	7	3	5	3	23	3	20	0.1843484834902167	19.983169088798434	4.0	7	3	4	3
